1.04	4	15	15	0.92	-2.1	0.68	-5.77	0.66
1.08	3	14	15	0.92	-2.1	1.04	-12.04	1.15
1.12	2	11	14	0.55	-2.76	1.59	-12.04	1.15
1.16	2	11	12	0.34	-2.76	1.64	-8.91	2.05
1.20	2	9	11	0.16	-2.63	1.64	-3.97	2.09
1.24	1	8	10	-0.04	-1.13	1.03	-0.53	2.05
1.28	1	7	9	-0.21	-0.27	0.49	1.45	1.13
1.32	0	6	9	-0.21	0.44	-0.09	2.41	0.8
1.36	0	6	8	-0.05	0.93	-0.24	2.83	0.62
1.40	0	5	8	0.27	1.61	-0.43	2.83	0.24
1.44	0	5	8	0.48	2.17	-0.64	1.03	-0.08
1.48	0	5	8	0.56	2.55	-0.64	-0.71	-0.26
1.52	0	4	7	0.56	2.63	-0.51	-3.41	-0.64
1.56	0	3	6	0.54	2.63	-0.38	-5.94	-0.64
1.60	0	2	5	0.5	1.98	-0.38	-5.94	-0.62
1.64	0	2	5	0.26	1.79	-0.55	-5.99	-0.55
1.68	0	2	5	0.25	1.6	-0.56	-5.89	0.31
1.72	0	1	5	0.13	0.82	-0.59	-5.55	0.31
1.76	0	1	5	0.01	0.27	-0.59	-5.55	-0.3
1.80	0	1	5	-0.2	0.23	-0.59	-4.36	-0.3
1.84	0	2	3	-0.3	0.23	-0.38	-4.27	-0.17
1.88	4	5	3	-0.3	0.73	0	-3.24	0.6
1.92	4	7	3	-0.3	0.73	0	-1.93	0.36
2.04	6	9	3	-0.28	0.38	0	-0.36	0.36
2.08	7	15	8	-0.17	0.08	0.02	-0.34	0.32
2.12	8	16	16	-0.17	0.07	0.02	-0.31	0.19
2.16	7	18	16	-0.06	0	0	-0.31	0.16
2.20	8	20	16	-0.05	-0.01	0	-0.31	0.15
2.24	9	23	26	0	-0.01	-0.01	-0.31	0.14
2.28	13	27	34	0.01	0	-0.01	-0.3	0.13
2.32	19	34	42	0.04	0.01	-0.01	-0.3	0.14
2.36	24	36	56	0.06	0.02	-0.01	-0.29	0.15
2.40	28	38	61	0.06	0.02	0	-0.28	0.18
2.44	30	39	66	0.02	0.02	0	-0.28	0.18
2.48	32	42	68	0.01	0.03	0.01	-0.26	0.18
2.52	33	44	71	0	0.03	0.01	-0.26	0.17
2.56	33	47	72	-0.01	0.01	0.01	-0.25	0.17
2.60	32	52	72	-0.04	0.01	0.01	-0.25	0.16
2.64	28	54	73	-0.05	0.01	0.01	-0.25	0.14
2.68	24	56	73	-0.05	0.01	0.01	-0.25	0.11
2.72	23	58	73	-0.03	0.01	0.01	-0.24	0.07
2.76	23	59	73	-0.01	0.01	0.01	-0.23	0.06
2.80	24	60	72	0.01	0.01	0.01	-0.23	0.06
2.84	25	61	72	0.02	0	0.01	-0.23	0.06
2.88	27	61	72	0.04	0	0.01	-0.23	0.06
2.92	29	61	71	0.04	0	0.01	-0.23	0.08
2.96	30	62	70	0.03	0	0.01	-0.24	0.08
3.00	31	62	69	0.03	0	0.01	-0.25	0.09
3.04	34	63	67	0.03	0	0.01	-0.25	0.09
3.08	36	64	66	0.03	0	0.01	-0.25	0.1
3.12	39	65	64	0.02	0	0.01	-0.25	0.1
3.16	40	65	64	0.01	0.01	0.02	-0.25	0.1
3.20	41	65	64	0.01	0.01	0.02	-0.25	0.1
3.24	41	65	64	0.01	0.01	0.02	-0.25	0.1
3.28	40	65	64	0.01	0.01	0.02	-0.25	0.1
3.32	40	66	64	0.02	0.01	0.02	-0.24	0.09
3.36	39	66	65	0.02	0.01	0.01	-0.24	0.09
3.40	39	66	65	0.02	0.01	0.01	-0.23	0.09
3.44	38	65	66	0.02	0.01	0.01	-0.23	0.08
3.48	38	64	68	0.04	0.01	0.01	-0.22	0.08
3.52	41	61	68	0.1	0.01	0.01	-0.22	0.1
3.56	45	59	68	0.12	0.01	0.01	-0.22	0.16
3.60	48	58	68	0.12	0	0.01	-0.23	0.19
3.64	53	58	62	0.17	-0.03	0.01	-0.23	0.23
3.68	57	58	52	0.19	-0.08	0	-0.26	0.31
3.72	60	59	42	0.22	-0.09	0	-0.32	0.39
3.76	60	59	35	0.22	-0.17	0.02	-0.4	0.48
3.80	59	58	30	0.37	-0.56	0.05	-0.41	0.76
3.84	53	50	26	0.37	-1.71	0.16	-0.77	0.76
3.88	41	33	23	0.37	-2.66	0.21	-1.95	0.96
3.92	25	20	21	1.14	-3.91	0.73	-8.42	0.59
3.96	14	16	18	1.14	-3.91	0.83	-9.57	1.16
4.00	10	14	16	-0.4	-2.29	1.19	-9.57	1.16
4.04	8	11	15	-0.61	-2.05	2.15	-7.3	2.26
4.08	6	9	14	-0.73	-2.01	2.15	-2.22	2.75
4.12	4	7	12	-0.73	-0.42	0.32	2.55	2.26
4.16	3	6	11	-0.43	0.93	-0.91	2.55	1.25
4.20	3	5	11	-0.4	1.46	-0.91	2.43	0.59
4.24	3	5	10	0.09	2.06	-0.55	2.25	0.09
4.28	2	4	9	0.34	2.89	-0.5	0.67	-0.59
4.32	2	3	9	0.36	2.89	-0.49	-2.52	-0.71
4.36	1	3	8	0.34	2.76	-0.11	-4.48	-0.71
4.40	1	2	8	0.32	2.71	-0.1	-7.33	-0.71
4.44	1	2	8	0.27	1.94	-0.11	-7.63	-0.69
4.48	1	1	7	0	1.22	-0.44	-7.63	-0.33
4.52	1	1	7	-0.03	0.85	-0.44	-6.18	-0.04
4.56	0	0	6	-0.03	0.72	-0.37	-4.98	0.62
4.60	0	0	6	-0.02	0.36	-0.37	-3.55	0.92
4.64	0	0	6	-0.02	0.24	-0.45	-1.74	1.06
4.68	0	0	5	-0.31	0.14	-0.45	-1.74	0.92
4.72	0	4	4	-0.31	0.24	-0.2	-2.66	-0.06
4.76	1	10	4	-0.25	0.29	-0.04	-2.66	-0.06
4.80	2	13	4	-0.16	0.29	-0.01	-1.02	0.1
4.84	7	17	6	-0.05	0.08	-0.01	-0.4	0.16
4.88	11	22	8	-0.05	0	-0.01	-0.36	0.17
4.92	11	25	14	-0.12	0	-0.01	-0.34	0.17
4.96	11	30	28	-0.12	0.02	-0.01	-0.34	0.08
5.00	12	31	37	-0.01	0.03	-0.01	-0.29	0.06
5.04	15	32	46	0.03	0.03	-0.01	-0.29	0.05
5.08	20	34	56	0.06	0.03	-0.01	-0.26	0.06
5.12	26	38	63	0.08	0.03	0	-0.25	0.11
5.16	31	40	68	0.08	0.03	0	-0.24	0.14
5.20	33	41	72	0.08	0.03	0	-0.23	0.16
5.24	38	41	73	0.14	0.01	0	-0.23	0.2
5.28	42	40	74	0.18	0	-0.01	-0.23	0.25
5.32	46	38	74	0.2	-0.02	-0.01	-0.24	0.32
5.36	49	36	72	0.2	-0.02	-0.01	-0.25	0.4
5.40	52	36	71	0.15	-0.02	-0.01	-0.25	0.48
5.44	53	37	71	0.05	-0.01	0	-0.27	0.5
5.48	54	38	71	0.03	0	0	-0.28	0.51
5.52	54	39	71	-0.01	0	0.01	-0.28	0.5
5.56	54	41	71	-0.01	0.01	0.01	-0.28	0.49
5.60	55	42	71	0	0.01	0.01	-0.27	0.47
5.64	55	42	71	0.02	0	0.01	-0.27	0.47
5.68	56	42	69	0.04	0	0.01	-0.27	0.47
5.72	57	42	68	0.08	-0.01	0.01	-0.27	0.5
5.76	58	40	66	0.11	-0.01	0	-0.29	0.53
5.80	60	39	65	0.11	-0.01	0	-0.29	0.57
5.84	60	39	65	0.05	0	0	-0.3	0.58
5.88	60	39	66	-0.06	0.02	0.01	-0.3	0.58
5.92	58	40	68	-0.07	0.03	0.02	-0.29	0.53
5.96	57	42	70	-0.07	0.03	0.02	-0.27	0.48
6.00	57	43	70	-0.03	0.02	0.01	-0.27	0.46
6.04	57	44	70	-0.02	0.02	0.01	-0.26	0.44
6.08	57	44	70	0.01	0.01	0.01	-0.26	0.44
6.12	57	44	71	0.01	0.01	0.01	-0.26	0.44
6.16	56	45	71	0	0.01	0.01	-0.27	0.43
6.20	55	45	72	0	0.02	0.01	-0.26	0.42
6.24	54	44	72	0	0.02	0.01	-0.27	0.42
6.28	53	44	72	0	0.01	0	-0.27	0.42
6.32	53	43	73	0	0.01	0	-0.27	0.41
6.36	52	43	73	0	0.01	0	-0.27	0.41
6.40	52	43	72	0.01	0.01	0	-0.26	0.39
6.44	53	43	67	0.05	0.01	0	-0.26	0.39
6.48	56	45	58	0.09	-0.02	0	-0.27	0.42
6.52	59	49	46	0.13	-0.11	0	-0.31	0.46
6.56	59	51	37	0.13	-0.13	0.03	-0.38	0.53
6.60	58	51	32	0.17	-0.53	0.06	-0.43	0.77
6.64	51	45	27	0.17	-1.67	0.15	-0.77	0.77
